"Name","Size (bytes)","QC status","Times scheduled","Version","Duration","TC In","Created","Updated"
"splashws21reblsmain-p72-p-video","279232878","OK","0","3","0:15:00.00","0:00:00.00","2021-10-09T01:28:40","2021-10-09T02:43:20"
"splashws21gpcemain-p35-p-video","263417081","OK","0","3","0:14:41.02","0:00:00.00","2021-10-09T01:27:57","2021-10-09T02:41:51"
"splashws21gpcemain-p36-p-video","330572211","OK","0","3","0:14:22.07","0:00:00.00","2021-10-09T01:28:13","2021-10-09T02:41:15"
"splashws21gpcemain-p28-p-video","187545174","OK","0","3","0:14:13.09","0:00:00.00","2021-10-09T01:28:13","2021-10-09T02:40:49"
"splashws21gpcemain-p32-p-video","369582380","OK","0","3","0:14:54.02","0:00:00.00","2021-10-09T01:28:02","2021-10-09T02:39:55"
"splashws21gpcemain-p3-p-video","185165276","OK","0","3","0:13:20.18","0:00:00.00","2021-10-09T01:28:05","2021-10-09T02:39:01"
"splashws21gpcemain-p25-p-video","345314973","OK","0","3","0:14:49.15","0:00:00.00","2021-10-09T01:27:49","2021-10-09T02:36:26"
"splashws21gpcemain-p2-p-video","392905235","OK","0","3","0:14:57.23","0:00:00.00","2021-10-09T01:27:31","2021-10-09T02:36:05"
"splashws21gpcemain-p21-p-video","221978175","OK","0","3","0:12:00.28","0:00:00.00","2021-10-09T01:27:30","2021-10-09T02:35:22"
"splashws21gpcemain-p22-p-video","106319032","OK","0","3","0:08:00.27","0:00:00.00","2021-10-09T01:27:29","2021-10-09T02:34:40"
"splashws21gpcemain-p16-p-video","364480929","OK","0","3","0:14:57.15","0:00:00.00","2021-10-09T01:27:22","2021-10-09T02:33:51"
"splashws21dsmmain-p2-p-video","188574603","OK","0","3","0:14:01.12","0:00:00.00","2021-10-09T01:26:04","2021-10-09T02:32:54"
"splashws21dsmmain-p3-p-video","325785836","OK","0","3","0:14:54.18","0:00:00.00","2021-10-09T01:26:38","2021-10-09T02:31:59"
"splashws21dsmmain-p8-p-video","323186614","OK","0","3","0:11:58.25","0:00:00.00","2021-10-09T01:26:45","2021-10-09T02:31:36"
"splashws21bcncmain-p97-p-video","330844638","OK","0","3","0:12:47.07","0:00:00.00","2021-10-09T01:26:01","2021-10-09T02:30:25"
"splashws21bcncmain-p7-p-video","437968170","OK","0","3","0:07:42.00","0:00:00.00","2021-10-09T01:25:59","2021-10-09T02:29:16"
"splashws21dsmmain-p7-p-video","149058447","OK","0","3","0:12:02.02","0:00:00.00","2021-10-09T01:25:56","2021-10-09T02:28:43"
"splashws21dsmmain-p4-p-video","194775491","OK","0","3","0:14:56.14","0:00:00.00","2021-10-09T01:25:49","2021-10-09T02:27:54"
"oopsla21main-p86-p-video","227543186","OK","0","3","0:14:59.02","0:00:00.00","2021-10-09T01:25:20","2021-10-09T02:27:02"
"splashws21bcncmain-p41-p-video","423647199","OK","0","3","0:07:28.02","0:00:00.00","2021-10-09T01:25:14","2021-10-09T02:26:41"
"oopsla21main-p99-p-video","194734521","OK","0","3","0:12:37.29","0:00:00.00","2021-10-09T01:24:57","2021-10-09T02:25:16"
"splashws21bcncmain-p16-p-video","361968593","OK","0","3","0:14:54.08","0:00:00.00","2021-10-09T01:25:27","2021-10-09T02:24:59"
"oopsla21main-p90-p-video","237015896","OK","0","3","0:13:10.04","0:00:00.00","2021-10-09T01:25:07","2021-10-09T02:22:55"
"oopsla21main-p9-p-video","257834874","OK","0","3","0:13:56.00","0:00:00.00","2021-10-09T01:25:01","2021-10-09T02:21:58"
"oopsla21main-p81-p-video","210633334","OK","0","3","0:14:59.21","0:00:00.00","2021-10-09T01:24:50","2021-10-09T02:20:43"
"oopsla21main-p66-p-video","300461646","OK","0","3","0:13:53.22","0:00:00.00","2021-10-09T01:24:52","2021-10-09T02:20:26"
